patch_id,governorate,wheat_type,year,yield
0,As-Suwayda,hard,2018,2015.7663590537743
1,Quneitra,soft,2013,1571.2045852380068
2,Latakia,hard,2011,3703.3815941076546
3,Hama,hard,2021,1906.0057188988571
4,Daraa,hard,2017,1887.973008789783
5,Aleppo,soft,2016,1248.423394834957
6,Deir ez-Zor,hard,2019,1002.8675272416958
7,Aleppo,hard,2021,3481.4269056666517
8,Aleppo,hard,2015,1572.2260786481804
9,As-Suwayda,soft,2015,3828.7290405045724
10,Raqqa,soft,2013,1587.7628272551044
11,As-Suwayda,hard,2020,3840.736099591729
12,Aleppo,hard,2010,3167.123021185084
13,As-Suwayda,hard,2010,505.06527182349765
14,Daraa,soft,2014,3933.4810330908917
15,Quneitra,hard,2019,1094.8602189466105
16,Damascus,soft,2021,1370.0801629406787
17,Homs,soft,2016,982.6177209746743
18,Aleppo,hard,2021,3986.3433302714648
19,Hama,hard,2015,2692.850701341549
20,Aleppo,soft,2014,853.9620163798086
21,Hama,soft,2015,2170.5332442104036
22,As-Suwayda,hard,2018,3452.7357636149236
23,Al-Hasakah,hard,2011,829.1546282538691
24,Raqqa,soft,2023,2185.9946385721396
25,Al-Hasakah,hard,2015,2413.7070784827265
26,Damascus,hard,2011,765.9684853231554
27,Daraa,hard,2010,3129.481134321625
28,Latakia,hard,2015,819.9983513995794
29,Hama,soft,2010,1948.1453811925196
30,Tartus,soft,2017,3369.883955443333
31,Damascus,soft,2012,2620.1563273821143
32,Homs,soft,2011,2126.641573176751
33,As-Suwayda,hard,2012,1503.9113389614142
34,Daraa,soft,2022,2439.6972342443764
35,Daraa,soft,2012,1883.1733922328256
36,Damascus,hard,2021,1708.7821016224334
37,Daraa,soft,2021,1041.15489294814
38,Raqqa,hard,2010,3079.3349958430163
39,Quneitra,soft,2020,542.1644146289814
40,Hama,hard,2013,1574.0849979063432
41,Raqqa,soft,2010,3955.778982001275
42,Daraa,hard,2018,3372.806495251658
43,Al-Hasakah,hard,2019,3899.2136820115265
44,Aleppo,hard,2020,2539.5803212707224
45,Idlib,soft,2021,2228.761596370394
46,Aleppo,hard,2016,3215.1173677804795
47,Latakia,soft,2012,1173.630792685458
48,Rif Dimashq,soft,2020,2900.507281384286
49,Quneitra,hard,2010,3813.970697007825
50,Raqqa,hard,2020,3908.4207549388825
51,As-Suwayda,hard,2012,3124.3349683796855
52,Homs,hard,2020,2790.250641431634
53,Tartus,soft,2021,3633.802047224521
54,Idlib,hard,2011,2215.0665227131126
55,Homs,hard,2023,3821.205975581685
56,Latakia,hard,2013,3144.7057920542093
57,Raqqa,soft,2012,2217.6899763334686
58,Raqqa,soft,2020,2307.584108207757
59,Hama,soft,2014,3621.482073644895
60,Al-Hasakah,hard,2017,1992.6329700533624
61,Idlib,hard,2013,1870.6782035085625
62,Homs,soft,2023,689.9932197536493
63,Al-Hasakah,hard,2013,707.6562114801188
64,Quneitra,soft,2017,3881.774501898711
65,Idlib,soft,2023,2275.5279535564873
66,Quneitra,hard,2015,1548.9259664330848
67,Homs,hard,2011,636.8451787463546
68,Hama,soft,2019,2523.2879034327034
69,Daraa,hard,2023,2130.17007974404
70,Daraa,soft,2015,2759.512625656179
71,Latakia,hard,2011,1971.2114875217362
72,Daraa,hard,2011,660.9878902996977
73,Hama,hard,2023,1820.334675762387
74,Tartus,hard,2017,1674.0764920508689
75,Rif Dimashq,soft,2013,2377.3109745608645
76,Homs,soft,2021,3570.164731697471
77,Raqqa,hard,2017,2343.567334214884
